Price;Zipcode;Accommodates;Bathrooms;Bedrooms;Beds;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Number of Reviews;Thumbnail Url
50.0;28020;2;1.0;1.0;1.0;450.0;15.0;1;0;2;1125;1;https://a0.muscache.com/im/pictures/c3da6bc0-1bc8-4f1c-b677-e845d2d324a9.jpg?aki_policy=small
58.0;28004;2;1.0;0.0;1.0;500.0;10.0;1;0;10;32;17;https://a0.muscache.com/im/pictures/74091596/e4270422_original.jpg?aki_policy=small
40.0;28012;2;1.0;1.0;1.0;150.0;25.0;1;5;2;1125;12;https://a0.muscache.com/im/pictures/51f0f805-8961-4a4c-959d-667acc67d4b6.jpg?aki_policy=small
21.0;28019;2;1.0;1.0;1.0;100.0;25.0;1;12;1;1125;3;https://a0.muscache.com/im/pictures/42372069/e21b4b39_original.jpg?aki_policy=small
24.0;28045;2;1.0;1.0;2.0;150.0;25.0;1;6;1;1125;9;https://a0.muscache.com/im/pictures/6531ba1d-766d-40ad-a91e-4a4459c11ea6.jpg?aki_policy=small
100.0;28009;5;2.0;3.0;4.0;200.0;25.0;1;0;5;330;28;https://a0.muscache.com/im/pictures/26495046/6bfda85c_original.jpg?aki_policy=small
18.0;28024;3;1.0;1.0;2.0;150.0;25.0;1;15;1;31;52;https://a0.muscache.com/im/pictures/d6bbddee-575d-4bd5-bb61-aa516d99ca1f.jpg?aki_policy=small
50.0;28039;3;1.0;1.0;2.0;100.0;10.0;2;30;1;15;1;https://a0.muscache.com/im/pictures/bf685533-8588-449c-8c54-442d96d74f28.jpg?aki_policy=small
25.0;28010;1;1.0;1.0;1.0;150.0;25.0;1;10;2;9;0;https://a0.muscache.com/im/pictures/dba65193-688e-4173-87ac-a189920c0899.jpg?aki_policy=small
750.0;28016;16;3.0;10.0;16.0;150.0;25.0;1;0;1;1125;1;https://a0.muscache.com/im/pictures/35fcadca-ee17-49ed-828e-8a596d4f9130.jpg?aki_policy=small
108.0;28012;4;1.0;2.0;3.0;200.0;45.0;2;5;4;200;38;https://a0.muscache.com/im/pictures/31101502/acb38f88_original.jpg?aki_policy=small
190.0;28012;8;3.0;3.0;4.0;250.0;80.0;6;20;3;1125;30;https://a0.muscache.com/im/pictures/eea1eacc-d2df-4f0e-9df0-de02bcce5a57.jpg?aki_policy=small
59.0;28015;4;1.0;1.0;2.0;150.0;25.0;2;15;2;30;228;https://a0.muscache.com/im/pictures/9640079/26941f5b_original.jpg?aki_policy=small
75.0;28004;4;2.0;2.0;2.0;100.0;30.0;1;0;2;1125;4;https://a0.muscache.com/im/pictures/63835c68-2d1f-491e-9767-e6cb630b8339.jpg?aki_policy=small
30.0;28012;1;1.0;1.0;2.0;150.0;25.0;1;0;1;1125;2;https://a0.muscache.com/im/pictures/7d8a87b1-0a2e-471d-9eeb-b4c425eebd38.jpg?aki_policy=small
70.0;28012;2;1.0;1.0;1.0;150.0;25.0;3;0;3;30;87;https://a0.muscache.com/im/pictures/1805616/5214d9f6_original.jpg?aki_policy=small
35.0;28013;2;1.0;1.0;2.0;150.0;25.0;1;0;1;1125;5;https://a0.muscache.com/im/pictures/233fc944-8aad-4fb7-824e-ce595a76b0ec.jpg?aki_policy=small
80.0;28008;4;1.0;1.0;1.0;150.0;15.0;1;0;2;7;0;https://a0.muscache.com/im/pictures/fbc10606-25dd-4d08-8382-150ee36b4421.jpg?aki_policy=small
55.0;28013;2;1.0;1.0;1.0;200.0;25.0;2;20;2;1125;1;https://a0.muscache.com/im/pictures/b623ba58-278d-4526-8184-c3bfa1d5bd93.jpg?aki_policy=small
21.0;28045;3;1.0;1.0;2.0;150.0;10.0;2;10;1;1125;28;https://a0.muscache.com/im/pictures/93577247/b8dce709_original.jpg?aki_policy=small
115.0;28012;6;2.0;2.0;3.0;150.0;30.0;4;0;2;1125;5;https://a0.muscache.com/im/pictures/2a5f4394-fe2b-42cf-a7b4-30d7e800c64d.jpg?aki_policy=small
20.0;28012;2;0.5;1.0;1.0;150.0;25.0;1;0;1;31;13;https://a0.muscache.com/im/pictures/2588fc5b-c267-4cc6-a1b5-c6db548499e4.jpg?aki_policy=small
110.0;28005;4;2.0;3.0;3.0;200.0;36.0;4;15;2;1125;7;https://a0.muscache.com/im/pictures/7faf6152-d227-4920-8bd4-dc72b76463a5.jpg?aki_policy=small
32.0;28020;2;1.0;0.0;1.0;150.0;10.0;1;0;7;15;0;https://a0.muscache.com/im/pictures/e836c213-919a-42b5-9199-d7d0b9d727af.jpg?aki_policy=small
120.0;28008;4;2.0;2.0;3.0;150.0;25.0;1;0;2;7;3;https://a0.muscache.com/im/pictures/111707491/18e2405f_original.jpg?aki_policy=small
59.0;28005;4;1.0;1.0;1.0;150.0;25.0;2;9;2;1125;5;https://a0.muscache.com/im/pictures/b377cfa7-f217-4fd3-a371-9652b46f43bc.jpg?aki_policy=small
90.0;28005;3;1.0;1.0;2.0;150.0;24.0;2;10;2;1125;5;https://a0.muscache.com/im/pictures/da97f4e2-ea55-4ec5-a132-3177133bc713.jpg?aki_policy=small
22.0;28041;1;1.0;1.0;1.0;100.0;11.0;1;0;1;365;42;https://a0.muscache.com/im/pictures/85a31ad7-2224-4089-bdd7-77efbe1638e1.jpg?aki_policy=small
180.0;28055;12;6.0;6.0;12.0;100.0;20.0;1;8;3;1125;0;https://a0.muscache.com/im/pictures/2676dfd3-e00a-4944-9618-131cb22650d2.jpg?aki_policy=small
150.0;28009;3;1.5;2.0;2.0;250.0;70.0;1;0;5;1125;1;https://a0.muscache.com/im/pictures/64994893/1d4bcd9c_original.jpg?aki_policy=small
